load,soc.iso,rate.vac,quar.dur,num.daily
0.807137869091463,0,0,0,15
0.647183609391925,0.5,0,0,15
0.276458975939918,1,0,0,15
0.781941201951511,0,0.01,0,15
0.73239290423797,0.5,0.01,0,15
0.0706029447526196,1,0.01,0,15
0.678906185826411,0,0.02,0,15
0.594684808223209,0.5,0.02,0,15
0.0258483533316735,1,0.02,0,15
0.715337665980045,0,0,7,15
0.757298095076144,0.5,0,7,15
0.0724518866367258,1,0,7,15
0.75941388788182,0,0.01,7,15
0.0471141306154137,0.5,0.01,7,15
0.0242637019788633,1,0.01,7,15
0.739277880322501,0,0.02,7,15
0.629335310863157,0.5,0.02,7,15
0.0100156467191868,1,0.02,7,15
0.722096334664318,0,0,14,15
0.358027194870823,0.5,0,14,15
0.0111995700226153,1,0,14,15
0.68808197866936,0,0.01,14,15
0.534376583854753,0.5,0.01,14,15
0.0100858777778887,1,0.01,14,15
0.284106820014392,0,0.02,14,15
0.133051288490921,0.5,0.02,14,15
0.0103177659108918,1,0.02,14,15
0.901589639004824,0,0,0,30
0.742411288957561,0.5,0,0,30
0.459487283443596,1,0,0,30
0.821880879668957,0,0.01,0,30
0.726936031887168,0.5,0.01,0,30
0.188103257971334,1,0.01,0,30
0.840296615940487,0,0.02,0,30
0.736791908195639,0.5,0.02,0,30
0.124733031059655,1,0.02,0,30
0.862657592774073,0,0,7,30
0.741307815160276,0.5,0,7,30
0.273480813808488,1,0,7,30
0.831292218104448,0,0.01,7,30
0.828804761590666,0.5,0.01,7,30
0.0142026890611698,1,0.01,7,30
0.859779375783771,0,0.02,7,30
0.743722265980675,0.5,0.02,7,30
0.333787713992116,1,0.02,7,30
0.73141670223546,0,0,14,30
0.632856401997444,0.5,0,14,30
0.156780043276672,1,0,14,30
0.918740107830256,0,0.01,14,30
0.791416682162274,0.5,0.01,14,30
0.0538841772396531,1,0.01,14,30
0.81755784166937,0,0.02,14,30
0.650854862961289,0.5,0.02,14,30
0.0237158659273192,1,0.02,14,30
0.933684120430455,0,0,0,45
0.842958936005564,0.5,0,0,45
0.470150824224997,1,0,0,45
0.91876581696524,0,0.01,0,45
0.881284307919908,0.5,0.01,0,45
0.532836696458677,1,0.01,0,45
0.877936501271226,0,0.02,0,45
0.873546490798465,0.5,0.02,0,45
0.430965272141105,1,0.02,0,45
0.934479810183591,0,0,7,45
0.889665115369441,0.5,0,7,45
0.539016209417368,1,0,7,45
0.835406204084544,0,0.01,7,45
0.833572748666116,0.5,0.01,7,45
0.427169138071721,1,0.01,7,45
0.853878023422729,0,0.02,7,45
0.879488865632217,0.5,0.02,7,45
0.340459488175836,1,0.02,7,45
0.929583263055615,0,0,14,45
0.838991657463273,0.5,0,14,45
0.0333321929618679,1,0,14,45
0.825018089520662,0,0.01,14,45
0.409058941173267,0.5,0.01,14,45
0.0268388660769506,1,0.01,14,45
0.840122896964924,0,0.02,14,45
0.81461597970752,0.5,0.02,14,45
0.0373433798345795,1,0.02,14,45
